code,split,datetime,dividend
601888,1.0,2017-06-19,0.0
601888,0.0,2011-06-28,0.1
601888,0.0,2012-06-12,0.1
601888,0.0,2013-05-28,0.35
601888,0.0,2014-06-24,0.4
601888,0.0,2015-07-14,0.46
601888,0.0,2016-06-03,0.5
601888,0.0,2017-06-16,1.0
601888,0.0,2018-06-22,0.52
601888,0.0,2019-06-24,0.55
601888,0.0,2020-07-16,0.72
